Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2021;;;;;;;;;;;;
Ano de Lançamento;CPB;Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF2;Distribuidora;Máximo de Salas;Público;Renda (R$)
1998;B0400110800000;Kenoma;Eliane Caffé;Ficção;A.F. Cinema;SP;-;-;Riofilme;ND;8197;40000
1998;B0500310800000;La Serva Padrona;Carla Camurati;Ficção;Copacabana Filmes E Produções;RJ;-;-;Elimar;ND;50000;250000
1998;B0500242600000;Menino Maluquinho 2 - A Aventura;Fabrízia Alves Pinto/Fernando Meirelles;Ficção;Grupo Novo De Cinema E Tv;RJ;-;-;S. Ribeiro/Riofilme;94;367456;898496
1998;B0800834800000;O Toque Do Oboé;Cláudio Macdowell;Ficção;Imágica Produções;RJ;Riofilme;RJ;Riofilme;ND;2368;12000
1998;B0500334800000;Policarpo Quaresma - Herói Do Brasil;Paulo Thiago;Ficção;Vitória Produções;RJ;-;-;S. Ribeiro/Riofilme;11;76761;183538
1998;B0500335300000;Simão, O Fantasma Trapalhão;Paulo Aragão;Ficção;Renato Aragão Produções;RJ;-;-;Columbia;246;1658136;6118522
1998;B1101381700000;Terra Do Mar;Eduardo Caron/Mirella Martinelli;Documentário;Bad Machine;SP;-;-;Riofilme;2;1531;7596
1998;B0500307600000;Traição;Arthur Fontes/Claudio Torres/José Henrique Fonseca;Ficção;Conspiração Filmes;RJ;-;-;Lumière;7;37572;202207
1998;B0600491200000;Tudo É Brasil;Rogério Sganzerla;Documentário;Mercúrio Produções;SP;-;-;Riofilme;1;1910;5348
1999;B0500436200000;A Hora Mágica;Guilherme De Almeida Prado;Ficção;Star Filmes;SP;-;-;Riofilme;7;5999;31891
1999;B0400055300000;Até Que A Vida Nos Separe;José Zaragoza;Ficção;Zaragoza Produções;SP;-;-;Riofilme;36;43815;243629
1999;B0700724300000;Caminho Dos Sonhos;Luca Amberg;Ficção;Amberg Filmes;SP;-;-;Uip;22;14646;68060
1999;B0500313700000;Castelo Rá-Tim-Bum, O Filme;Cao Hamburger;Ficção;A.F. Cinema/Caos Produções;SP/SP;-;-;Columbia;134;725329;3031875
1999;-;Contos De Lygia E Morte;Del Rangel;Ficção;Cinema Profissional;SP;-;-;Lumière;2;649;3257
1999;B0500286100000;Dois Córregos;Carlos Reichenbach;Ficção;Dezenove Som E Imagens/Tv Cultura;SP/SP;-;-;Riofilme;13;38017;189716
1999;B0500304300000;Fé;Ricardo Dias;Documentário;Superfilmes;SP;-;-;Riofilme;4;8248;42349
1999;-;Histórias Do Flamengo;Alexandre Niemyer;Documentário;Produções Carlos Niemeyer Filmes;RJ;-;-;Riofilme;14;11157;56465
1999;B0400086000000;Mauá - O Imperador E O Rei;Sergio Rezende;Ficção;Lagoa Cultural;RJ;-;-;Buena Vista/Riofilme;78;195790;923684
1999;B0600618500000;Mário;Hermano Penna;Ficção;Luz Xxi/Estudios Quanta;SP/SP;-;-;Riofilme;1;2249;11929
1999;B0500310100000;No Coração Dos Deuses;Geraldo Moraes;Ficção;Aquarela;DF;-;-;Riofilme;25;23217;90530
1999;B0300021500000;Nós Que Aqui Estamos Por Vós Esperamos;Marcelo Masagão;Documentário;Um Minuto;SP;-;-;Riofilme;4;58577;285130
1999;B0500446400000;O Primeiro Dia;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ;-;-;Lumière/Riofilme;17;64383;347917
1999;B0500336400000;O Trapalhão E A Luz Azul;Alexandre Boury/Paulo Aragão;Ficção;Globo Filmes/Renato Aragão Produções;RJ/RJ;-;-;Lumière;239;771831;2947356
1999;B0600450400000;O Tronco;João Batista De Andrade;Ficção;Raiz Produções;SP;-;-;Pandora;ND;1000;5000
1999;B0600460600000;O Viajante;Paulo César Saraceni;Ficção;Shater Produções Artísticas;RJ;-;-;Riofilme;2;5970;24809
1999;B0800822000000;Orfeu;Cacá Diegues;Ficção;Globo Filmes/Rio Vermelho Filmes;RJ/RJ;-;-;Warner;147;961961;4455409
1999;B0800819200000;Os Carvoeiros;Nigel Noble;Documentário;Zazen Produções;RJ;-;-;Zazen;ND;1000;5000
1999;-;Outras Estórias;Pedro Bial;Ficção;Theo Filmes;RJ;-;-;Riofilme;6;21515;102060
1999;B0600508700000;Paixão Perdida;Walter Hugo Khouri;Ficção;Tv Cultura/Videcom;SP/SP;-;-;Riofilme;6;3596;19516
1999;B0300013900000;Por Trás Do Pano;Luiz Villaça;Ficção;Nia Filmes;SP;-;-;Riofilme;7;22109;118411
1999;B0901021800000;Santo Forte;Eduardo Coutinho;Documentário;Cecip - Centro De Criação De Imagem Popular;RJ;-;-;Riofilme;4;18313;91883
1999;B0300047700000;São Jerônimo;Julio Bressane;Ficção;Tb Produções;RJ;-;-;Riofilme;2;5000;27722
1999;B0400064000000;Tiradentes;Oswaldo Caldeira;Ficção;Oswaldo Caldeira Produções Cinematográficas/Riofilme;RJ/RJ;-;-;Riofilme;3;7489;34253
1999;B0500310200000;Um Copo De Cólera;Aluizio Abranches;Ficção;Tambellini Filmes;RJ;-;-;Riofilme;7;58337;309094
1999;B0800854000000;Uma Aventura Do Zico;Antonio Carlos Da Fontoura;Ficção;Filmes Do Equador/Quanta-Rio;RJ/RJ;-;-;Lumière;60;36727;158373
1999;B0500186500000;Xuxa Requebra;Tizuka Yamasaki;Ficção;Diler & Associados;RJ;-;-;Fox;218;2074461;8173376
1999;-;Zoando Na Tv;José Alvarenga Jr.;Ficção;Angélica Produções Artísticas/Globo Filmes//Lereby;RJ/RJ/RJ;-;-;Columbia;143;911394;3463297
2000;B0400065500000;A Terceira Morte De Joaquim Bolivar;Flávio Cândido;Ficção;Cândido&Moraes;RJ;-;-;Riofilme;1;2330;11497
2000;B0500309500000;Amélia;Ana Carolina;Ficção;Crystal Cinematográfica;RJ;-;-;Riofilme;6;24431;140283
2000;B0600534900000;Através Da Janela;Tata Amaral;Ficção;A.F. Cinema/Tangerina Entretenimento;SP/SP;-;-;Riofilme;5;10271;53960
2000;B0500386700000;Bossa Nova;Bruno Barreto;Ficção;Filmes Do Equador/Lc Barreto;RJ/RJ;-;-;Columbia;158;520614;3165333
2000;B0700686200000;Cronicamente Inviável;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;Riofilme;6;69443;378287
2000;B0500312500000;Cruz E Sousa - O Poeta Do Desterro;Sylvio Back;Ficção;Usina De Kyno;PR;-;-;Riofilme;2;3608;15510
2000;B0500311600000;Estorvo;Ruy Guerra;Ficção;Skylight;RJ;-;-;Riofilme;4;11532;66325
2000;B0500237200000;Eu, Tu, Eles;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;-;-;Columbia;132;695682;4111481
2000;B0500363900000;Gêmeas;Andrucha Waddington;Ficção;Conspiração Filmes;RJ;-;-;Columbia;18;40368;234781
2000;B0600561200000;Hans Staden;Luiz Alberto Pereira;Ficção;Lapfilme;SP;-;-;Riofilme;9;46646;238389
2000;B0500310400000;Iremos A Beirute;Marcus Moura;Ficção;Estação Luz Filmes;CE;-;-;Riofilme;3;1639;8751
2000;B0500312100000;Minha Vida Em Suas Mãos;José Antônio Garcia;Ficção;Roderaf Produções Artísticas;RJ;-;-;Warner;15;10222;45733
2000;B0800875000000;O Auto Da Compadecida;Guel Arraes;Ficção;Globo Filmes;RJ;-;-;Columbia;199;2157166;11496994
2000;B0500309400000;O Dia Da Caça;Alberto Graça;Ficção;Mpc Filmes;RJ;-;-;Uip/Riofilme;50;43531;239708
2000;B0500310600000;O Rap Do Pequeno Príncipe Contra As Almas Sebosas;Marcelo Luna/Paulo Caldas;Documentário;Raccord Produções;RJ;-;-;Riofilme;9;22577;73489
2000;B0300011200000;Oriundi;Ricardo Bravo;Ficção;Laz Audiovisual;PR;-;-;Warner;68;38755;223608
2000;B0500406100000;Os Três Zuretas;Cecílio Neto;Ficção;Cn Cine;SP;-;-;Riofilme;18;6760;33899
2000;B0400163400000;Pierre Verger: Mensageiro Entre Dois Mundos;Lula Buarque De Hollanda;Documentário;Conspiração Filmes/Globosat;RJ/RJ;-;-;Riofilme;ND;3400;ND
2000;B0500247700000;Quase Nada;Sergio Rezende;Ficção;Morena Filmes;RJ;-;-;Riofilme;11;10691;63937
2000;B0800899400000;Tolerância;Carlos Gerbase;Ficção;Casa De Cinema De Porto Alegre;RS;-;-;Columbia;90;84620;497953
2000;B0500266700000;Um Certo Dorival Caymmi;Aluisio Didier;Documentário;Brasiliana Produções;RJ;-;-;Riofilme;2;2076;10509
2000;B0400132100000;Villa Lobos - Uma Vida De Paixão;Zelito Viana;Ficção;Mapa Filmes;RJ;-;-;Uip/Riofilme;50;143981;874453
2000;B0500297900000;Xuxa Popstar;Paulo Sérgio Almeida/Tizuka Yamasaki;Ficção;Diler & Associados;RJ;Warner;SP;Warner;304;2394326;9625191
2001;B0400100600000;2000 Nordestes;David França Mendes/Sandra Magalhães Delgado/Vicente Amorim;Documentário;Filmes Do Equador;RJ;-;-;Riofilme;2;4297;20707
2001;B0901027200000;A Hora Marcada;Marcelo Taranto;Ficção;Mt Filmes;RJ;-;-;Uip;18;16441;92213
2001;B0500309300000;A Partilha;Daniel Filho;Ficção;Lereby;RJ;-;-;Columbia;155;1449411;8797925
2001;B0500308900000;Abril Despedaçado;Walter Salles;Ficção;Videofilmes;RJ;-;-;Lumière;49;353713;2063956
2001;B0500309600000;Amores Possíveis;Sandra Werneck;Ficção;Cineluz Produções;RJ;Labocine/Estudios Quanta;RJ/SP;Fox;80;396224;2658663
2001;B0500254900000;Anésia - Um Vôo No Tempo;Ludmila Ferolla;Documentário;Mares Produções;RJ;-;-;Riofilme;3;1498;6436
2001;B0500311700000;As Feras;Walter Hugo Khouri;Ficção;Cinearte Produções Cinematográficas;SP;-;-;Riofilme;5;3645;14922
2001;B0500312300000;Babilônia 2000;Eduardo Coutinho;Documentário;Videofilmes;RJ;-;-;Riofilme;3;15301;86496
2001;B0500312400000;Barra 68 - Sem Perder A Ternura;Vladimir Carvalho;Documentário;Folkino Produções Audiovisuais;DF;-;-;Riofilme;3;6989;31427
2001;B0500309800000;Bicho De Sete Cabeças;Laís Bodanzky;Ficção;Buriti Filmes/Dezenove Som E Imagens;SP/SP;Gullane;SP;Columbia;50;401565;2184514
2001;B0700637600000;Brava Gente Brasileira;Lucia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Riofilme;14;23170;102507
2001;B0500309100000;Bufo & Spallanzani;Flávio Ramos Tambellini;Ficção;Tambellini Filmes;RJ;-;-;Warner;39;47017;251836
2001;B0500312200000;Caramuru - A Invenção Do Brasil;Guel Arraes;Ficção;Globo Filmes;RJ;-;-;Columbia;170;246023;1500740
2001;B0500312000000;Condenado À Liberdade;Emiliano Ribeiro;Ficção;Ipê Artes;RJ;-;-;Uip;38;15262;77169
2001;B0500310000000;Copacabana;Carla Camurati;Ficção;Copacabana Filmes E Produções;RJ;-;-;Elimar;13;234014;1422805
2001;B0500300000000;Domésticas, O Filme;Fernando Meirelles/Nando Olival;Ficção;O2 Filmes;SP;-;-;Pandora;5;91488;422675
2001;B0500277300000;Lavoura Arcaica;Luiz Fernando Carvalho;Ficção;Luiz Fernando De Carvalho Produções Artísticas;RJ;Videofilmes;RJ;Riofilme;10;143860;874018
2001;B0300047000000;Memórias Póstumas;André Klotzel;Ficção;Brás Filmes/Tv Cultura;SP/SP;-;-;Lumière;57;186380;855484
2001;B0300006100000;Nelson Gonçalves;Elizeu Ewald;Documentário;Diler & Associados/Proview/Rob Filmes/Tele Image;RJ/RJ/RJ/SP;-;-;Riofilme;3;4381;20881
2001;B0500314000000;Netto Perde Sua Alma;Beto Souza/Tabajara Ruas;Ficção;Imagem B/Walper Ruas Produções;RS/RS;-;-;Riofilme;22;41479;187837
2001;B0500309700000;O Casamento De Louise;Betse De Paula;Ficção;Aurora Cinematográfica;RJ;-;-;Riofilme;5;8761;49126
2001;B0600454600000;O Chamado De Deus;José Joffily;Documentário;Coevo Filmes;RJ;-;-;Riofilme;2;4535;25316
